home,away,score,loc,year
Argentina , Bulgaria,1–0,"Estadio El Teniente, Rancagua",1962
Hungary , England,2–1,"Estadio El Teniente, Rancagua",1962
England , Argentina,3–1,"Estadio El Teniente, Rancagua",1962
Hungary , Bulgaria,6–1,"Estadio El Teniente, Rancagua",1962
Hungary , Argentina,0–0,"Estadio El Teniente, Rancagua",1962
England , Bulgaria,0–0,"Estadio El Teniente, Rancagua",1962
Chile , Soviet Union,2–1,"Estadio Carlos Dittborn, Arica",1962
Czechoslovakia , Hungary,1–0,"Estadio El Teniente, Rancagua",1962
Brazil , England,3–1,"Estadio Sausalito, Viña del Mar",1962
Yugoslavia , West Germany,1–0,"Estadio Nacional, Santiago",1962
Czechoslovakia , Yugoslavia,3–1,"Estadio Sausalito, Viña del Mar",1962
Brazil , Chile,4–2,"Estadio Nacional, Santiago",1962
Chile , Yugoslavia,1–0,"Estadio Nacional, Santiago",1962
Brazil , Czechoslovakia,3–1,"Estadio Nacional, Santiago",1962
England , Uruguay,0–0,"Wembley Stadium, London",1966
France , Mexico,1–1,"Wembley Stadium, London",1966
Uruguay , France,2–1,"White City Stadium, London",1966
England , Mexico,2–0,"Wembley Stadium, London",1966
Mexico , Uruguay,0–0,"Wembley Stadium, London",1966
England , France,2–0,"Wembley Stadium, London",1966
West Germany , Switzerland,5–0,"Hillsborough Stadium, Sheffield",1966
Argentina , Spain,2–1,"Villa Park, Birmingham",1966
Spain , Switzerland,2–1,"Hillsborough Stadium, Sheffield",1966
Argentina , West Germany,0–0,"Villa Park, Birmingham",1966
Argentina , Switzerland,2–0,"Hillsborough Stadium, Sheffield",1966
West Germany , Spain,2–1,"Villa Park, Birmingham",1966
Brazil , Bulgaria,2–0,"Goodison Park, Liverpool",1966
Portugal , Hungary,3–1,"Old Trafford, Manchester",1966
Hungary , Brazil,3–1,"Goodison Park, Liverpool",1966
Portugal , Bulgaria,3–0,"Old Trafford, Manchester",1966
Portugal , Brazil,3–1,"Goodison Park, Liverpool",1966
Hungary , Bulgaria,3–1,"Old Trafford, Manchester",1966
Soviet Union , North Korea,3–0,"Ayresome Park, Middlesbrough",1966
Italy , Chile,2–0,"Roker Park, Sunderland",1966
Chile , North Korea,1–1,"Ayresome Park, Middlesbrough",1966
Soviet Union , Italy,1–0,"Roker Park, Sunderland",1966
North Korea , Italy,1–0,"Ayresome Park, Middlesbrough",1966
Soviet Union , Chile,2–1,"Roker Park, Sunderland",1966
England , Argentina,1–0,"Wembley Stadium, London",1966
West Germany , Uruguay,4–0,"Hillsborough Stadium, Sheffield",1966
Soviet Union , Hungary,2–1,"Roker Park, Sunderland",1966
Portugal , North Korea,5–3,"Goodison Park, Liverpool",1966
West Germany , Soviet Union,2–1,"Goodison Park, Liverpool",1966
England , Portugal,2–1,"Wembley Stadium, London",1966
Portugal , Soviet Union,2–1,"Wembley Stadium, London",1966
England , West Germany,4–2 (a.e.t.),"Wembley Stadium, London",1966
Soviet Union , Uruguay,0–1 (a.e.t.),"Estadio Azteca, Mexico City",1970
Italy , Mexico,4–1,"Estadio Luis Dosal, Toluca",1970
Brazil , Peru,4–2,"Estadio Jalisco, Guadalajara",1970
West Germany , England,3–2 (a.e.t.),"Estadio Nou Camp, León",1970
Uruguay , Brazil,1–3,"Estadio Jalisco, Guadalajara",1970
Italy , West Germany,4–3 (a.e.t.),"Estadio Azteca, Mexico City",1970
Uruguay , West Germany,0–1,"Estadio Azteca, Mexico City",1970
Brazil , Italy,4–1,"Estadio Azteca, Mexico City",1970
Brazil , Poland,0–1,"Olympiastadion, Munich",1974
Netherlands , West Germany,1–2,"Olympiastadion, Munich",1974
Brazil , Italy,2–1,"Estadio Monumental, Buenos Aires",1978
Argentina , Netherlands,3–1 (a.e.t.),"Estadio Monumental, Buenos Aires",1978
Poland , Italy,0–2,"Camp Nou, Barcelona",1982
West Germany , France,3–3 (a.e.t.),"Ramón Sánchez Pizjuán Stadium, Seville",1982
Poland , France,3–2,"Estadio José Rico Pérez, Alicante",1982
Italy , West Germany,3–1,"Santiago Bernabéu, Madrid",1982
Mexico , Bulgaria,2–0,"Estadio Azteca, Mexico City",1986
Soviet Union , Belgium,3–4 (a.e.t.),"Estadio Nou Camp, León",1986
Brazil , Poland,4–0,"Estadio Jalisco, Guadalajara",1986
Argentina , Uruguay,1–0,"Estadio Cuauhtémoc, Puebla",1986
Italy , France,0–2,"Estadio Olímpico Universitario, Mexico City",1986
Morocco , West Germany,0–1,"Estadio Universitario, San Nicolás de los Garza",1986
England , Paraguay,3–0,"Estadio Azteca, Mexico City",1986
Denmark , Spain,1–5,"Estadio La Corregidora, Querétaro",1986
Brazil , France,1–1 (a.e.t.),"Estadio Jalisco, Guadalajara",1986
West Germany , Mexico,0–0 (a.e.t.),"Estadio Universitario, San Nicolás de los Garza",1986
Argentina , England,2–1,"Estadio Azteca, Mexico City",1986
Spain , Belgium,1–1 (a.e.t.),"Estadio Cuauhtémoc, Puebla",1986
France , West Germany,0–2,"Estadio Jalisco, Guadalajara",1986
Argentina , Belgium,2–0,"Estadio Azteca, Mexico City",1986
Belgium , France,2–4 (a.e.t.),"Estadio Cuauhtémoc, Puebla",1986
Argentina , West Germany,3–2,"Estadio Azteca, Mexico City",1986
Cameroon , Colombia,2–1 (a.e.t.),"Stadio San Paolo, Naples",1990
Czechoslovakia , Costa Rica,4–1,"Stadio San Nicola, Bari",1990
Brazil , Argentina,0–1,"Stadio Delle Alpi, Turin",1990
West Germany , Netherlands,2–1,"San Siro, Milan",1990
Republic of Ireland , Romania,0–0 (a.e.t.),"Stadio Luigi Ferraris, Genoa",1990
Italy , Uruguay,2–0,"Stadio Olimpico, Rome",1990
Spain , Yugoslavia,1–2 (a.e.t.),"Stadio Marc'Antonio Bentegodi, Verona",1990
England , Belgium,1–0 (a.e.t.),"Stadio Renato Dall'Ara, Bologna",1990
Argentina , Yugoslavia,0–0 (a.e.t.),"Stadio Comunale, Florence",1990
Republic of Ireland , Italy,0–1,"Stadio Olimpico, Rome",1990
Czechoslovakia , West Germany,0–1,"San Siro, Milan",1990
Cameroon , England,2–3 (a.e.t.),"Stadio San Paolo, Naples",1990
Argentina , Italy,1–1 (a.e.t.),"Stadio San Paolo, Naples",1990
West Germany , England,1–1 (a.e.t.),"Stadio delle Alpi, Turin",1990
Italy , England,2–1,"Stadio San Nicola, Bari",1990
West Germany , Argentina,1–0,"Stadio Olimpico, Rome",1990
Germany , Belgium,3–2,"Soldier Field, Chicago",1994
Spain , Switzerland,3–0,"RFK Stadium, Washington",1994
Saudi Arabia , Sweden,1–3,"Cotton Bowl, Dallas",1994
Romania , Argentina,3–2,"Rose Bowl, Pasadena",1994
Netherlands , Republic of Ireland,2–0,"Citrus Bowl, Orlando",1994
Brazil , United States,1–0,"Stanford Stadium, Stanford",1994
Nigeria , Italy,1–2 (a.e.t.),"Foxboro Stadium, Foxborough",1994
Mexico , Bulgaria,1–1 (a.e.t.),"Giants Stadium, East Rutherford",1994
Italy , Spain,2–1,"Foxboro Stadium, Foxborough",1994
Netherlands , Brazil,2–3,"Cotton Bowl, Dallas",1994
Bulgaria , Germany,2–1,"Giants Stadium, East Rutherford",1994
Romania , Sweden,2–2 (a.e.t.),"Stanford Stadium, Stanford",1994
Bulgaria , Italy,1–2,"Giants Stadium, East Rutherford",1994
Sweden , Brazil,0–1,"Rose Bowl, Pasadena",1994
Sweden , Bulgaria,4–0,"Rose Bowl, Pasadena",1994
Brazil , Italy,0–0 (a.e.t.),"Rose Bowl, Pasadena",1994
Italy , Norway,1–0,"Stade Vélodrome, Marseille",1998
Brazil , Chile,4–1,"Parc des Princes, Paris",1998
France , Paraguay,1–0 (a.e.t.),"Stade Félix-Bollaert, Lens",1998
Nigeria , Denmark,1–4,"Stade de France, Saint-Denis",1998
Germany , Mexico,2–1,"Stade de la Mosson, Montpellier",1998
Netherlands , FR Yugoslavia,2–1,"Stade de Toulouse, Toulouse",1998
Romania , Croatia,0–1,"Parc Lescure, Bordeaux",1998
Argentina , England,2–2 (a.e.t.),"Stade Geoffroy-Guichard, Saint-Étienne",1998
Italy , France,0–0 (a.e.t.),"Stade de France, Saint-Denis",1998
Brazil , Denmark,3–2,"Stade de la Beaujoire, Nantes",1998
Netherlands , Argentina,2–1,"Stade Vélodrome, Marseille",1998
Germany , Croatia,0–3,"Stade de Gerland, Lyon",1998
Brazil , Netherlands,1–1 (a.e.t.),"Stade Vélodrome, Marseille",1998
France , Croatia,2–1,"Stade de France, Saint-Denis",1998
Netherlands , Croatia,1–2,"Parc des Princes, Paris",1998
Brazil , France,0–3,"Stade de France, Saint-Denis",1998
France , Senegal,0–1,"Seoul World Cup Stadium, Seoul",2002
Uruguay , Denmark,1–2,"Munsu Cup Stadium, Ulsan",2002
Denmark , Senegal,1–1,"Daegu World Cup Stadium, Daegu",2002
France , Uruguay,0–0,"Busan Asiad Main Stadium, Busan",2002
Denmark , France,2–0,"Incheon Munhak Stadium, Incheon",2002
Senegal , Uruguay,3–3,"Suwon World Cup Stadium, Suwon",2002
Paraguay , South Africa,2–2,"Busan Asiad Main Stadium, Busan",2002
Spain , Slovenia,3–1,"Gwangju World Cup Stadium, Gwangju",2002
Spain , Paraguay,3–1,"Jeonju World Cup Stadium, Jeonju",2002
South Africa , Slovenia,1–0,"Daegu World Cup Stadium, Daegu",2002
South Africa , Spain,2–3,"Daejeon World Cup Stadium, Daejeon",2002
Slovenia , Paraguay,1–3,"Jeju World Cup Stadium, Seogwipo",2002
Brazil , Turkey,2–1,"Munsu Football Stadium, Ulsan",2002
China , Costa Rica,0–2,"Gwangju World Cup Stadium, Gwangju",2002
Brazil , China,4–0,"Jeju World Cup Stadium, Seogwipo",2002
Costa Rica , Turkey,1–1,"Incheon Munhak Stadium, Incheon",2002
Costa Rica , Brazil,2–5,"Suwon World Cup Stadium, Suwon",2002
Turkey , China,3–0,"Seoul World Cup Stadium, Seoul",2002
South Korea , Poland,2–0,"Busan Asiad Main Stadium, Busan",2002
United States , Portugal,3–2,"Suwon World Cup Stadium, Suwon",2002
